時間戳記,"您目前使用的生成式 AI (如 ChatGPT, Gemini 等) 是否已開啟「記憶/個人化指令」功能？",[PM1] 我感覺現有 AI 能夠牢記我過去與其分享的長期資訊（如專案背景、個人偏好）。,[PM2] 現有 AI 能根據我過去的互動習慣，自動調整其回應的格式或語氣。,[PM3] 我與現有 AI 之間已經建立了一種「不需要重新解釋」的溝通默契。,[PM4] 我感覺現有 AI 是「為我量身打造」的個人專屬助理，而非通用工具。,"  【轉換成本評估】  

※ 本研究之轉換成本 (SC) 包含「學習適應成本」與「隱私風險」兩個面向。

[SC1] 即使記憶可以匯入，我預期仍需花費大量精力讓「新 AI」適應我的溝通邏輯。",[SC2] 我擔心新 AI 雖然擁有我的記憶數據，卻無法像原 AI 那樣精準解讀我的意圖。,[SC3] 轉移到新平台後，我預期會有一段效率低落的「默契重建期」。,[SC4] 將包含我高度私密互動的記憶「整包交給另一家公司」，這件事讓我感到不安。,[SC5] 我擔心在記憶匯出與匯入的過程中，我的個人資料存在外洩的風險。,[SC6] 考慮到隱私保護的穩定性，我對將記憶數據轉移至新廠商持有戒心。,[CU1] 即使有上述提到的競品誘因，我仍打算繼續使用現有的 AI 平台。,[CU2] 考量到重新適應的麻煩，我願意支付較高費用留在原平台，而非更換至新平台。,[CU3] 如果必須放棄目前的個人化記憶累積，我會失去更換平台的動力。,[CU4] 整體而言，我對現有 AI 平台具有高度的忠誠度。,[TR1] 因為現有 AI 掌握我的背景脈絡，我對它產出的初步方案感到放心。,[TR2] 我認為現有 AI 因為「記得我」，其回答的精準度高於其他不認識我的 AI。,[TR3] 在處理複雜任務時，我更信任這個熟悉我過往習慣的 AI 平台。,[TR4] 個人化記憶的累積，讓我更願意直接採用 AI 提供的建議。,您目前最常使用的生成式 AI 平台為何？,您使用該平台的時間長度約為幾個月？ (請填寫數字),平均而言，您每天使用生成式 AI 的頻率？,您是否曾經嘗試過 AI 平台的「資料匯出 (Export/Takeout)」功能？,電子郵件地址,[PM5] 因為 AI 能記住我，我在使用時能更快進入工作狀態。,[CU5] 我願意向他人推薦目前使用的 AI 平台 。,請問您的性別為何？,請問您的年齡區間為何？,請問您的教育程度為何？,請問您目前的職業為何？,請問您是否在工作中會使用 AI  ？,請問您對 AI 的熟悉程度為何？
2026/5/7 下午 4:05:40,是,5,7,3,2,5,2,2,7,7,7,2,1,3,1,3,5,2,4,ChatGPT,24,7,否,,7,,男,21–30歲,博士以上,上班族,是,熟悉
2026/5/7 下午 4:12:47,是,4,2,2,1,5,4,5,4,3,3,4,4,6,4,3,2,2,3,ChatGPT,12,3,否,,2,,女,21–30歲,大學,上班族,是,普通
2026/5/7 下午 4:13:34,是,7,6,4,6,3,2,6,2,6,2,4,3,4,2,3,3,3,5,ChatGPT,5,2,否,,6,,自我認同為一塊麵包(還是有認真填表格的,21–30歲,大學,自由業,是,普通
2026/5/7 下午 4:18:17,是,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,ChatGPT,12,5,否,,5,,男,21–30歲,大學,上班族,是,熟悉
2026/5/7 下午 4:20:45,否 (若選否，將直接結束問卷),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026/5/7 下午 4:30:28,是,6,5,3,3,5,5,6,4,3,3,5,3,3,3,4,5,4,5,Gemini,24,7,是,,3,,男,31–40歲,大學,學生,是,熟悉
2026/5/7 下午 4:44:20,是,7,7,7,7,1,7,7,7,7,7,1,1,1,1,2,1,7,1,ChatGPT,6,7,是,,7,,男,41歲以上,碩士,上班族,是,熟悉
2026/5/7 下午 4:44:31,是,5,4,2,3,5,4,3,5,6,6,4,4,4,4,4,4,4,4,ChatGPT,19,7,否,,4,,男,31–40歲,大學,上班族,是,熟悉
2026/5/7 下午 4:45:44,是,7,7,5,4,2,2,1,6,7,7,7,5,6,3,6,4,7,7,ChatGPT,12,7,否,,4,,男,31–40歲,大學,上班族,是,普通
2026/5/7 下午 4:49:14,是,2,3,2,2,3,6,5,5,6,6,6,6,6,4,3,4,3,4,其他,24以上,7,是,,3,,男,41歲以上,碩士,上班族,是,非常熟悉
2026/5/7 下午 4:50:43,是,5,6,5,5,6,3,3,3,4,6,5,3,3,5,5,6,6,6,ChatGPT,24,7,是,,5,,秘密,21–30歲,大學,上班族,是,熟悉
2026/5/7 下午 4:58:47,是,6,7,5,5,6,3,6,7,7,6,6,4,3,7,7,6,6,6,ChatGPT,12,6,是,,6,,男,31–40歲,大學,上班族,是,熟悉
2026/5/7 下午 5:00:18,是,5,6,5,5,3,3,4,6,6,6,6,5,4,5,6,5,4,4,ChatGPT,20,5,否,,4,,男,31–40歲,大學,上班族,否,普通
2026/5/7 下午 5:15:26,是,7,7,4,6,1,1,3,2,5,5,4,6,6,5,6,6,6,5,Gemini,13,7,否,,7,,女,21–30歲,碩士,上班族,是,熟悉
2026/5/7 下午 5:18:38,是,5,5,4,5,4,5,5,3,4,3,4,3,3,4,4,5,5,5,Gemini,3,5,否,,5,,女,21–30歲,大學,上班族,是,熟悉
2026/5/7 下午 5:21:50,是,7,7,3,4,7,7,7,7,7,7,4,3,2,1,5,6,6,7,ChatGPT,24,7,否,,3,,男,31–40歲,碩士,上班族,是,非常熟悉
2026/5/7 下午 5:24:47,否 (若選否，將直接結束問卷),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026/5/7 下午 5:24:49,是,6,4,4,5,7,6,3,2,3,2,7,7,6,6,6,5,6,6,Gemini,2年,7,是,,5,,男,41歲以上,碩士,上班族,是,熟悉
2026/5/7 下午 5:27:19,是,7,5,2,4,3,3,5,5,4,3,2,3,5,6,5,7,6,5,ChatGPT,12,5,否,,6,,女,31–40歲,碩士,上班族,是,普通
2026/5/7 下午 5:32:02,是,7,7,7,6,7,7,7,7,7,7,3,3,7,4,6,3,6,5,ChatGPT,12,7,是,,7,,男,41歲以上,碩士,上班族,是,非常熟悉
2026/5/7 下午 6:21:10,是,4,4,4,4,5,5,6,6,7,5,5,3,4,6,6,5,6,6,Gemini,24,6,是,,5,,男,41歲以上,碩士,自由業,是,熟悉
2026/5/7 下午 6:31:53,是,3,4,2,5,4,6,7,4,6,7,4,3,5,3,2,3,2,2,Gemini,3,7,是,,5,,男,21–30歲,碩士,科技業,是,熟悉
2026/5/7 下午 6:41:41,是,5,3,4,4,3,5,7,3,5,6,4,5,4,5,5,5,5,6,Gemini,12,7,是,,6,,男,21–30歲,碩士,上班族,是,熟悉
2026/5/7 下午 8:01:24,否 (若選否，將直接結束問卷),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026/5/7 下午 8:21:35,是,4,3,3,3,6,5,3,4,4,5,4,3,2,4,3,3,3,4,Claude,8,7,否,,6,,男,31–40歲,大學,上班族,是,熟悉
2026/5/7 下午 8:33:33,是,6,6,5,5,4,5,5,4,4,4,4,4,6,5,5,6,6,6,ChatGPT,30,7,否,,7,,男,21–30歲,大學,上班族,是,普通
2026/5/7 下午 8:53:53,是,3,5,5,2,5,3,5,2,6,5,2,2,6,2,4,3,5,5,Gemini,3,2,否,,4,,男,21–30歲,大學,上班族,否,不熟
2026/5/7 下午 9:26:19,是,6,5,4,5,6,3,4,3,3,3,3,3,5,3,2,3,5,5,ChatGPT,12,7,否,,5,,女,21–30歲,大學,上班族,是,熟悉
2026/5/8 上午 8:18:55,是,5,6,3,5,5,6,6,2,5,4,2,2,4,5,5,3,5,5,Gemini,7,7,否,,5,,男,21–30歲,大學,上班族,是,熟悉
2026/5/8 上午 9:04:24,是,6,4,5,3,3,3,3,2,5,6,6,3,2,1,4,3,5,4,Gemini,8,7,是,,5,,男,31–40歲,碩士,上班族,是,熟悉
2026/5/8 上午 9:22:59,是,5,6,3,6,5,7,7,7,7,7,5,1,1,1,2,1,1,3,ChatGPT,12,2,否,,5,,男,21–30歲,碩士,役男,是,非常熟悉
2026/5/8 下午 4:31:09,是,5,6,5,5,7,7,6,6,7,7,6,7,7,6,7,6,7,7,Claude,2,7,是,,6,,男,21–30歲,碩士,學生,是,非常熟悉
2026/5/10 上午 11:37:50,是,4,5,4,3,5,6,7,7,7,7,4,3,3,2,5,2,3,3,ChatGPT,26,2,否,,5,,男,21–30歲,碩士,上班族,是,普通
2026/5/11 下午 7:26:22,否 (若選否，將直接結束問卷),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026/5/11 下午 7:30:19,是,5,4,4,3,6,5,5,3,3,3,5,3,4,5,6,5,4,5,ChatGPT,10,6,否,,3,,男,21–30歲,大學,上班族,是,普通
2026/5/11 下午 8:35:15,是,7,7,7,7,2,7,7,1,1,1,1,1,1,1,7,7,7,7,Claude,12,7,是,,7,,男,21–30歲,碩士,學生,是,非常熟悉
2026/5/12 上午 8:31:18,是,7,3,4,4,5,4,4,6,7,7,5,3,5,3,3,5,4,4,Gemini,7,5,是,,5,,女,21–30歲,大學,上班族,是,熟悉
2026/5/12 上午 10:03:09,否 (若選否，將直接結束問卷),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026/5/12 下午 9:14:24,是,6,6,4,3,4,5,7,7,7,7,6,4,7,7,5,7,7,6,Gemini,12,7,是,,4,,女,21–30歲,碩士,上班族,是,熟悉
2026/5/13 上午 8:22:16,是,4,3,3,4,5,5,5,5,5,5,4,4,3,3,4,3,3,4,Gemini,12,5,否,,3,,男,31–40歲,大學,上班族,是,普通
2026/5/13 下午 5:01:35,是,6,6,5,4,5,6,5,5,6,6,4,4,2,4,4,5,5,5,Gemini,12,6,是,,5,,女,21–30歲,碩士,上班族,是,熟悉
